"name","ring","quadrant","isNew","status","description"
AI for verification,adopt,Patterns and Practices,TRUE,new,"<p>AI for verification extends and consolidates <a href=""../../2025.10/PP/ai-for-test-from-requirements.md"">AI for test from requirements</a> from the previous radar and picks up the QA scope that sits beyond developer-owned unit tests — integration, <a href=""Contract testing"">Contract testing</a>, end-to-end, performance, security and exploratory testing. Where <a href=""AI for development"">AI for development</a> helps engineers build the change, <strong>AI for verification helps the team prove it works</strong> — and where <a href=""AI for requirements"">AI for requirements</a> shapes what to build, this practice closes the loop with continuous, evidence-based confirmation that what shipped matches what was asked for.</p> <p>We see four complementary patterns, each useful on its own and stronger when combined:</p> <ul> <li><strong>Test design from requirements</strong> — Building on <a href=""../../2025.10/PP/ai-for-test-from-requirements.md"">AI for test from requirements</a>, QA engineers turn user stories, acceptance criteria and design specs into <a href=""https://cucumber.io/docs/gherkin/"">Gherkin</a> scenarios, test charters and risk-prioritised coverage maps using general-purpose LLMs (<a href=""https://claude.ai"">Claude</a>, <a href=""https://chatgpt.com"">ChatGPT</a>) and productivity AI embedded in the tools where requirements already live (<a href=""https://www.atlassian.com/software/rovo"">Atlassian Rovo</a>). The seed pattern matters: a few hand-written, well-shaped scenarios per product set the style the model imitates everywhere else, which keeps generated coverage aligned with how the team actually writes tests.</li> <li><strong>Test automation generation</strong> — Agentic IDEs and CLI agents — <a href=""https://www.anthropic.com/claude-code"">Claude Code</a>, <a href=""https://cursor.com/"">Cursor</a>, <a href=""https://github.com/features/copilot"">GitHub Copilot</a> — author and refactor <a href=""Playwright"">Playwright</a>, <a href=""Cypress"">Cypress</a>, <a href=""Appium"">Appium</a> and <a href=""K6"">K6</a> suites from a scenario or a recorded interaction, including page objects, fixtures and CI wiring. Teams encode their automation conventions (locator strategy, wait policy, data setup) as reusable <a href=""Agent Skills"">Agent Skills</a> so generated tests stay consistent across services. Specialised low-code platforms like <a href=""https://www.mabl.com/"">Mabl</a> and <a href=""https://www.testim.io/"">Testim</a> cover the same space for QA roles that prefer a UI-driven loop over an IDE.</li> <li><strong>Test result triage and flake analysis</strong> — Modern test reporting platforms (<a href=""Report Portal"">Report Portal</a>, <a href=""https://allurereport.org/"">Allure Report</a>) cluster failures by signature and use ML-based auto-analysis to suggest whether a red test is a known defect, a product bug or an automation issue — turning a wall of red runs into a short, ranked list of things actually worth a human&#39;s attention. Layered on top of our <a href=""Test Reporting"">Test Reporting</a> and <a href=""Test management tools"">Test management tools</a> tooling, this is the pattern where AI moves the needle most for testers today: less time tagging flakes, more time testing.</li> <li><strong>Security and performance verification</strong> — AI assists triage of findings from <a href=""SonarQube"">SonarQube</a>, <a href=""ZAP (OWASP ZAP)"">ZAP (OWASP ZAP)</a> and SCA tooling, drafts <a href=""Factory acceptance testing"">Factory acceptance testing</a> checklists from threat models, and helps interpret <a href=""K6"">K6</a> performance runs against historical baselines so regressions are flagged in language a release manager can act on. None of this replaces the underlying scanners or load tools — it makes their output digestible at the cadence releases actually move.</li> </ul> <p>The compounding effect matters more than any single pattern. Generated scenarios feed generated automation; consistent automation produces clean run history; clean history makes triage AI&#39;s signal sharp; sharp signal frees QA effort to invest in exploratory and security testing where AI is still a junior partner. AI for verification leans on the same foundations as the rest of the AI practice on this radar: <a href=""Agent Skills"">Agent Skills</a>, <a href=""Feedback Loops for Agents"">Feedback Loops for Agents</a>, <a href=""Context Engineering"">Context Engineering</a>, and a <a href=""Product Context Pack"">Product Context Pack</a> per product so the agent understands the system under test, not just the test framework.</p> <p>We are placing this practice in <strong>Adopt</strong> because teams that combine these patterns get broader test coverage with less manual effort, and move faster from a failed run to a fixed defect. The caveats stay: AI-generated tests can pass for the wrong reasons, auto-triage can hide real regressions, and AI-authored test code without proper review adds to <a href=""Codebase Cognitive Debt"">Codebase Cognitive Debt</a> in the test suite itself. Treat AI as a force multiplier for the testers we have, keep deterministic gates (smoke suites, contract checks, security scans) in the pipeline regardless of what the agent thinks, and respect company policy on what code and data may leave the boundary.</p>"
API First,adopt,Patterns and Practices,FALSE,moved in,"<p><a href=""https://www.postman.com/api-first"">API First</a> is an approach to software design where APIs are treated as first-class citizens and defined before any implementation begins. Instead of building an application and then exposing APIs as an afterthought, teams start by designing the API contract—often using specifications like OpenAPI or AsyncAPI—to ensure clarity, consistency, and interoperability.</p> <p>This approach is currently used succesfully by many teams in our group, and we encourage others to try it in their future projects. Designing APIs first promotes <strong>consumer-driven design</strong>, enabling <strong>parallel development across teams</strong>, better <strong>alignment with business requirements</strong>, and seamless <strong>integration within distributed or microservices architectures</strong>. It also supports automated workflows such as <strong>mock servers</strong>, <a href=""Contract testing"">Contract testing</a>, and <strong>code generation</strong>, helping reduce errors and accelerate delivery. By prioritizing APIs early, organizations create more <strong>maintainable</strong>, <strong>scalable</strong>, and <strong>reusable services</strong>, which is critical for modern ecosystems where APIs are the backbone of digital platforms.</p> <p>API First is also becoming a critical foundation for working effectively with AI. A well-defined OpenAPI or AsyncAPI specification gives coding agents a precise, machine-readable contract they can reason about, generate clients and servers from, and validate their output against. The same contract powers <strong>MCP servers</strong> and <strong>tool definitions</strong> exposed to agents, ensures <strong>AI-generated implementations stay aligned</strong> with the agreed interface, and integrates naturally with <a href=""Feedback Loops for Agents"">Feedback Loops for Agents</a> and <a href=""Contract testing"">Contract testing</a> so that drift is caught immediately. In an era where AI accelerates code production, the API contract becomes the source of truth that keeps humans, agents, and services speaking the same language.</p>"
Automated Dependency Updates,adopt,Patterns and Practices,TRUE,new,"<p>Automated Dependency Updates is a key technique in modern software development. It involves tools that automatically detect outdated dependencies, create automated pull requests (PRs) for updates, and often incorporate security vulnerability scanning to reduce maintenance burden and mitigate supply chain risks.</p> <p>With the widespread usage of AI tools, dependencies update frequently, creating a constant need for timely patches to maintain security.</p> <p>Dependabot (GitHub) Native GitHub tool that automatically generates version and security update PRs. Supports 20+ package managers. Free for public repositories and included in GitHub plans for private ones. </p> <p>Renovate (Mend Renovate) Highly configurable open-source tool (AGPL) supporting over 90 package managers and multiple platforms (GitHub, GitLab, Bitbucket, Azure DevOps). Excellent monorepo and customization support. Free self-hosted/on-premise deployment (CLI/Docker) under AGPL, ideal for internal or air-gapped setups; enterprise options for advanced features.</p> <p>Dependabot is a reliable baseline solution for GitHub-based teams, for on premise self-hosted installations go for Renovate.</p>"
Clean Architecture,adopt,Patterns and Practices,FALSE,no change,"<p><a href=""https://blog.cleancoder.com/uncle-bob/2012/08/13/the-clean-architecture.html"">Clean Architecture</a> is a software design approach that emphasizes separation of concerns, independence from frameworks, and testability by organizing code into concentric layers with strict dependency rules. The core principle is that dependencies point inward toward business logic, ensuring the domain layer remains independent of external concerns like UI, databases, or frameworks. Various implementations exist including <strong>layered architecture</strong>, <strong>hexagonal architecture</strong>, and <strong>ports and adapters</strong> patterns, all sharing the goal of decoupling business rules from infrastructure details.</p> <p>Clean Architecture provides significant benefits including improved testability through isolated business logic, flexibility to swap frameworks or databases without impacting core functionality, and clearer code organization that aids long-term maintainability. Teams adopting these patterns consistently report better separation between domain logic and technical implementation, making systems easier to understand, modify, and extend. We&#39;re placing Clean Architecture in <strong>adopt</strong> based on its proven effectiveness across projects of varying sizes and complexity. Teams should apply these principles pragmatically, understanding that the investment in proper layering and dependency management pays dividends through reduced coupling and enhanced maintainability. For new projects and major refactoring efforts, particularly with frameworks like <a href=""Spring Boot"">Spring Boot</a>, Clean Architecture provides a solid foundation for building sustainable, evolvable systems.</p> <p>Clean Architecture takes on renewed importance as AI accelerates code production. Agents work best against codebases with clear seams; without them, AI-generated code drifts into layer violations that erode the team&#39;s shared mental model — exactly the <a href=""Codebase Cognitive Debt"">Codebase Cognitive Debt</a> we want to avoid. Clear layering also makes <a href=""Context Engineering"">Context Engineering</a> tractable (an agent can be fed a focused slice rather than the whole repository) and lets architectural rules run as part of <a href=""Feedback Loops for Agents"">Feedback Loops for Agents</a> — see <a href=""Architecture as Code"">Architecture as Code</a> for the enforcement story.</p>"
Context Engineering,adopt,Patterns and Practices,TRUE,new,"<p>Context engineering is the practice of deliberately shaping the information an AI agent sees while it works: instructions, examples, repository knowledge, tool descriptions, feedback signals, and task-specific constraints. It moves teams beyond one-off prompt writing toward a repeatable engineering discipline for keeping the agent&#39;s context relevant, compact, and grounded in the actual system. Context quality is now one of the main factors that determines whether agentic workflows are reliable or noisy; useful references include OpenAI&#39;s guide to <a href=""https://developers.openai.com/api/docs/guides/prompt-engineering/"">prompt engineering</a> and Cursor&#39;s docs on <a href=""https://www.cursor.com/docs/context/rules"">rules</a>.</p> <p>This is a foundation for <a href=""Agentic Engineering"">Agentic Engineering</a>. If agentic workflows are expected to plan, edit, test, review, or coordinate work across tools, the quality of their context becomes part of the delivery system. Good context engineering uses patterns such as progressive context disclosure, agent skills, context packs, and feedback loops so agents receive enough information to act well without drowning in irrelevant instructions.</p>"
Continuous delivery,adopt,Patterns and Practices,FALSE,no change,"<p><a href=""https://docs.aws.amazon.com/es_es/wellarchitected/latest/devops-guidance/continuous-delivery.html"">Continuous Delivery (CD)</a> automates the preparation and deployment of software, enabling each version to be potentially releasable at any time. This practice relies on automated pipelines that validate, package, and deploy changes consistently. It takes after <a href=""Continuous integration"">Continuous integration</a>. </p> <p>Its implementation ensures a traceable, automated software lifecycle aligned with principles of observability and immutable deployments. It also increases delivery speed, operational stability, and business responsiveness. By reducing manual errors and facilitating a predictable deployment flow, Continuous Delivery (CD) becomes a key pillar for multi-organization ecosystems or environments with multiple production stages. It further enhances collaboration between development and operations [DevOps] (../PP/devops.md) teams.</p>"
Continuous integration,adopt,Patterns and Practices,FALSE,no change,"<p><a href=""https://www.atlassian.com/continuous-delivery/continuous-integration"">Continuous Integration (CI)</a> is a <a href=""DevOps"">DevOps</a> practice that automates code compilation, testing, and validation every time a developer makes changes to the repository. It ensures that the software remains always integrable and functional.</p> <p>Adopting <a href=""https://docs.aws.amazon.com/es_es/wellarchitected/latest/devops-guidance/continuous-integration.html"">Continuous Integration (CI)</a> allows teams to detect issues early, improve code quality, and reduce integration time across teams. Continuous Integration promotes discipline in collaborative development and sets the foundation for more advanced practices such as <a href=""Continuous delivery"">Continuous delivery</a> and test automation. In complex or distributed enterprise environments, Continuous Integration (CI) adoption is a need and results in greater traceability, source code consistency, and version control.</p>"
DevOps,adopt,Patterns and Practices,FALSE,no change,"<p>What</p> <ul> <li>DevOps is the combination of cultural practices, automation, and measurable operational processes (CI/CD, Infrastructure as Code, automated testing, observability, and continuous delivery) that enable fast, safe, repeatable delivery of software.</li> </ul> <p>Why now</p> <ul> <li>Business demands faster delivery and reliable operations. DevOps reduces lead time, increases deployment frequency and improves recovery time with small, testable changes and continuous feedback loops.</li> </ul> <p>When to adopt</p> <ul> <li>Adopt when you need faster iteration, better alignment between teams, predictable releases, and improved reliability. Start with CI, trunk-based development, automated tests, and progressive delivery; grow toward IaC, observability and SRE practices.</li> </ul> <p>Considerations</p> <ul> <li>Culture change is the hardest part: invest in cross-functional teams, shared SLIs/SLOs, and blameless postmortems.</li> <li>Prioritize automation and incremental rollout; avoid big-bang transformations.</li> <li>Secure by design: integrate security checks early (shift-left).</li> </ul> <p>Key practices</p> <ul> <li>Continuous Integration / Continuous Delivery (CI/CD)</li> <li>Infrastructure as Code (Terraform, CloudFormation)</li> <li>Observability (metrics, logs, traces)</li> <li>Trunk-based development and feature flags</li> <li>Blameless postmortems and SLO-driven operations</li> </ul> <p>Further reading</p> <ul> <li><a href=""https://about.google/intl/en/products/sre/"">https://about.google/intl/en/products/sre/</a></li> <li><a href=""https://martinfowler.com/bliki/ContinuousDelivery.html"">https://martinfowler.com/bliki/ContinuousDelivery.html</a></li> <li><a href=""https://12factor.net"">https://12factor.net</a></li> </ul>"
Feedback Loops for Agents,adopt,Patterns and Practices,TRUE,new,"<p>Coding agents become dramatically more useful — and far less expensive for their human reviewers — when the same deterministic quality gates we already trust (compilers, linters, type checkers, structural tests, unit and integration suites) are wired directly into the agent&#39;s loop. Instead of waiting for a human to notice a broken build or a failing test in review, the agent observes the failure itself and self-corrects, producing cleaner output before any commit lands. This is the core idea behind ThoughtWorks&#39; <a href=""https://www.thoughtworks.com/radar/techniques/feedback-sensors-for-coding-agents"">feedback sensors for coding agents</a>: treat established checks as a backpressure mechanism that the agent can read.</p> <p>In practice, teams wire this up in a few different shapes — a reviewer agent that runs checks and triggers corrections, a long-running companion process the agent can query, or a thin CLI the agent invokes between edits. Coding agents also lower the cost of authoring custom linters and structural assertions, so the catalogue of feedback the agent receives can grow with the team&#39;s conventions. Whenever possible, these checks should run during the coding session, not as a post-commit afterthought. The further the failure signal is from the agent&#39;s working context, the less of it actually closes the loop.</p>"
Infrastructure as Code,adopt,Patterns and Practices,FALSE,no change,"<p><a href=""https://en.wikipedia.org/wiki/Infrastructure_as_code"">Infrastructure as Code</a> expresses compute, network, storage, and platform configuration as versioned, reviewable code. Declarative definitions produce reproducible environments, reduce configuration drift, and make changes auditable. Provisioning tools such as Terraform manage cloud and on-prem resources, while Ansible and image builders like Packer configure operating systems and middleware. Kubernetes manifests are packaged with Helm or shaped with Kustomize and reconciled by GitOps controllers such as Argo CD or Flux.  Guardrails arise naturally from the workflow: pull requests, automated plans, policy checks, and continuous reconciliation highlight unintended changes before they reach production. Secrets remain outside version control in a vault or KMS, and remote state backends provide locking and encryption. The result is faster recovery through re-creation, consistent environments across data centers, and a clear change history that satisfies operational and compliance needs.</p>"
Microfrontends,adopt,Patterns and Practices,FALSE,no change,"<p>Microfrontends extend <a href=""Microservices"">Microservices</a> principles to frontend development by decomposing user interfaces into independently deployable, team-owned modules that compose at runtime or build time. Each microfrontend encapsulates a business domain with its own technology stack, deployment pipeline, and lifecycle, integrating through framework-agnostic patterns like <a href=""https://www.webcomponents.org/"">web components</a>, module federation, iframe isolation, or server-side composition. Common integration approaches include <a href=""https://webpack.js.org/concepts/module-federation/"">Webpack Module Federation</a> for runtime sharing, <a href=""https://single-spa.js.org/"">single-spa</a> for framework orchestration, or edge-side composition with CDN routing. The architecture enables autonomous team velocity with independent deployments, technology diversity for evolving frameworks, and incremental migration from monolithic frontends. Challenges include managing shared dependencies to prevent bundle duplication, coordinating cross-cutting concerns like authentication and styling, maintaining consistent UX across boundaries, and ensuring performance with multiple framework runtimes. Adopt microfrontends for large-scale applications with multiple teams requiring independent delivery cadences and clear domain boundaries, establishing governance for shared libraries, design systems, and communication protocols between modules.</p>"
Progressive Context Disclosure,adopt,Patterns and Practices,TRUE,new,"<p>Progressive context disclosure is a <a href=""Context Engineering"">Context Engineering</a> technique that flips the usual instinct of front-loading every rule and reference an agent might ever need. Instead, the agent starts with a lightweight index of what&#39;s available — domains, tools, skills, documents — and only pulls the detailed material into its context window once it has seen the user&#39;s prompt and decided what is actually relevant. The result is a much higher signal-to-noise ratio per token spent.</p> <p>The pattern shows up in two places we already work with. In retrieval pipelines, the agent first decides which corner of the knowledge base matches the question and then retrieves the specific chunks it needs. In coding agents, it is how <a href=""Agent Skills"">Agent Skills</a> are loaded: the agent inspects skill descriptions, picks the few that fit the task, and only then reads their full instructions. This avoids the failure mode of an ever-growing monolithic prompt stuffed with conditional &quot;do this except when…&quot; rules, which models attend to less reliably as the context grows. Disclosing context progressively keeps the working window lean and helps the agent stay focused on the task at hand.</p>"
Structured Logging,adopt,Patterns and Practices,FALSE,no change,"<p><strong>Structured logging</strong> provides significant benefits by capturing log data in a consistent, machine-readable format, such as JSON. This approach enables powerful analytics and querying capabilities, making it easier to identify patterns, troubleshoot issues, and monitor application health. Structured logs are especially practical during load tests and high-traffic scenarios, as they allow for efficient aggregation and analysis of large volumes of data. By adopting structured logging, teams can improve observability, streamline debugging, and gain deeper insights into system behavior.</p>"
Agile Development,trial,Patterns and Practices,FALSE,no change,"<p>Agile development is an iterative and people-centric approach to software delivery, governed by the <strong>Agile Manifesto’s</strong> (<a href=""https://agilemanifesto.org/"">https://agilemanifesto.org/</a>) four values and twelve principles. It prioritizes <strong>Individuals and interactions</strong> over processes and tools, <strong>Working software</strong> over comprehensive documentation, <strong>Customer collaboration</strong> over contract negotiation, and <strong>Responding to change</strong> over following a plan.</p> <p>Work is organized into short, fixed-length cycles (Sprints or iterations), enabling <strong>frequent feedback loops</strong>, <strong>early validation</strong>, and <strong>continuous delivery</strong> of incremental value. Requirements are managed dynamically through a prioritized backlog, allowing teams to continuously refine scope based on business value, customer feedback, and emerging insights.</p> <p>Agile emphasizes not only delivery cadence, but also strong <strong>engineering practices</strong> such as continuous integration, automated testing, and regular refactoring to sustain long-term quality and adaptability. <strong>Continuous improvement</strong> is a core aspect, with teams regularly <strong>inspecting</strong> and <strong>adapting</strong> their ways of working through feedback mechanisms such as retrospectives.</p> <p>While Agile benefits are well established, its successful adoption depends on both organizational and team maturity. It requires active <strong>customer involvement</strong>, <strong>empowered cross-functional teams</strong>, and a shared understanding of <strong>ownership</strong> and <strong>accountability</strong>. Simply adopting Agile ceremonies without embracing its underlying principles and engineering discipline can lead to scope creep, technical debt, reduced transparency, and lack of predictability.</p> <p>A new project should therefore selectively pilot Agile practices (such as daily stand-ups, short iterations, and continuous integration) to validate the team’s ability to operate within the <strong>Agile mindset</strong> before scaling its adoption.</p>"
Architecture as Code,trial,Patterns and Practices,TRUE,new,"<p>Treating architecture as code means encoding the qualities we expect from a system — modularity, layering, dependency direction, performance budgets, security constraints — as executable checks that run in the same pipelines as our builds and tests. The idea draws on the <a href=""https://www.thoughtworks.com/radar/techniques/architectural-fitness-function"">architectural fitness function</a> concept popularised by <a href=""https://www.thoughtworks.com/books/building-evolutionary-architectures"">Building Evolutionary Architectures</a>: an objective, automated assessment of one or more architectural characteristics, expressed through unit tests, structural rules, metrics or runtime monitors. Tools like <a href=""https://www.archunit.org/"">ArchUnit</a>, <a href=""https://stoplight.io/open-source/spectral"">Spectral</a> and module-boundary checks in frameworks such as <a href=""https://spring.io/projects/spring-modulith"">Spring Modulith</a> make it practical to express these rules alongside the code they govern.</p> <p>Encoding architecture this way pays off most where humans cannot keep up with the rate of change. As AI-assisted delivery accelerates output and contributes to <a href=""Codebase Cognitive Debt"">Codebase Cognitive Debt</a>, executable architectural rules become a continuous feedback channel that prevents drift before review. Combined with <a href=""Feedback Loops for Agents"">Feedback Loops for Agents</a>, they let coding agents self-correct against the team&#39;s intended design instead of replicating whatever pattern they happen to find nearby.</p>"
CQRS,trial,Patterns and Practices,FALSE,no change,"<p><a href=""https://martinfowler.com/bliki/CQRS.html"">CQRS (Command Query Responsibility Segregation)</a> separates read and write operations into distinct models where commands modify state through domain logic enforcing business rules while queries retrieve data optimized for specific use cases without side effects. This enables independent scaling and evolution of read/write paths, particularly valuable in high-throughput systems with asymmetric patterns. CQRS pairs naturally with <a href=""https://martinfowler.com/eaaDev/EventSourcing.html"">event sourcing</a> for audit trails and temporal queries, allowing varied projections of the same data—customer views, fulfillment operations, analytics, search—each optimized for access patterns and consistency requirements. The pattern introduces complexity through synchronization mechanisms, eventual consistency reasoning, projection rebuilds, and schema evolution across models, often via <a href=""Event-driven architecture"">Event-driven architecture</a> or message queues. Trial CQRS in bounded contexts with high read/write asymmetry, specialized query needs, complex domain logic, or audit requirements, avoiding simple CRUD operations or scenarios requiring strict immediate consistency.</p>"
Event-driven architecture,trial,Patterns and Practices,FALSE,moved in,"<p><a href=""https://en.wikipedia.org/wiki/Event-driven_architecture"">Event-driven architecture</a> is a software design pattern where components react to and communicate through events—changes in system state—rather than direct synchronous requests. Producers emit events without needing to know who will consume them, and consumers respond asynchronously, with only the event format acting as a shared contract. The result is a loosely coupled, scalable, and resilient system that can react to information in real time.</p> <p>Because dependencies are reduced to the event schema, services can be updated, replaced, or scaled independently based on their event load, and a temporary outage of a consumer is absorbed by the broker until it recovers—making the system naturally fault-tolerant and a strong fit for use cases like fraud detection, inventory management, and personalized user experiences. In practice the pattern also pairs exceptionally well with AI-assisted development: each microservice stays small, focused, and easy to integrate, which lets AI agents lead day-to-day implementation while the system design engineer absorbs the architectural complexity—enabling junior developers and AI agents to deliver complex systems together. Evolving the design within the same pattern is equally straightforward; swapping a consumer, adding a new reaction to an existing event, or extending a flow rarely ripples beyond the touched component, so iteration stays cheap as the system grows.</p>"
Factory acceptance testing,trial,Patterns and Practices,FALSE,moved in,"<p>Factory Acceptance Testing (FAT), is a pre-shipment process where deliverables are tested by vendor to verify it meets all specifications, design criteria, and functional requirements before being released to the market. When a product team delivers a packaged software for on-premises deployment, <strong>factory acceptance testing (FAT)</strong> ensures that product deliverables operate correctly in a realistic, production-like environment. FAT typically encompasses multiple testing dimensions — functional verification, performance benchmarking, and basic security validation — depending on product type and risk profile. The practice increasingly relies on automation frameworks to execute regression and performance suites and can vary in scope from module-level validation of subsystems to full product-level end‑to‑end acceptance.</p> <p>Adoption will help teams reduce defect escape rate, post-delivery incidents, ensure environment reproducibility, and shorten customer acceptance cycles. The main challenge remains in balancing realistic test environments with efficient automation.</p>"
Feedback Flywheel,trial,Patterns and Practices,TRUE,new,"<p>Most teams adopting coding agents settle into some variant of a spec → plan → implement workflow. The <a href=""https://martinfowler.com/articles/reduce-friction-ai/#FivePatternsForAiCollaboration"">feedback flywheel</a> adds an explicit fourth step that closes the loop on the agent harness itself: after a session, capture what worked and what didn&#39;t, then improve the inputs to the next session. It is essentially a retrospective applied to the way the team collaborates with the agent, and the gains compound as the harness gets sharper over time.</p> <p>Concretely, the flywheel turns observed failures into changes to the things that drive future runs — the project&#39;s curated instructions, the <a href=""Feedback Loops for Agents"">Feedback Loops for Agents</a>, the prompt templates, the small skills the team relies on. A human is still on the loop here, deciding which signals are noise and which are systemic. The technique is particularly worth running every time a new model is rolled in: prompts and rules tuned for last quarter&#39;s model often add friction with the next one, and the flywheel is the cheapest way to find out which parts of the harness are still earning their place.</p>"
Microservices,trial,Patterns and Practices,FALSE,no change,"<p><a href=""https://microservices.io/"">Microservices</a> is an architectural style that organizes software into small, independently deployable services with clear bounded contexts. Each service owns its data and exposes contracts through APIs or events, enabling teams to iterate and scale components separately. Communication favors asynchronous messaging for decoupling and resilience, with synchronous calls reserved for request/response needs and protected by timeouts, retries, and circuit breakers. Operational autonomy improves when services publish uniform health endpoints, metrics, and traces, allowing platform tooling to automate rollouts and failure handling. The approach introduces new responsibilities—contract versioning, schema evolution, cross-service debugging, and eventual consistency—mitigated by patterns such as outbox/CDC, sagas for multi-step flows, and schema registries. Microservices fit best where domain boundaries are strong and deployment velocity matters more than in-process calls.</p>"
OSS license checks,trial,Patterns and Practices,FALSE,moved in,"<p>With frequent changes of licenses in open-source projects and LLM tools producing snippets they learned from open codebases, open-source license compliance is becoming a necessary part of continuous delivery pipelines. Modern tools like <a href=""https://snyk.io/"">Snyk</a>, <a href=""https://fossa.com/"">FOSSA</a>, <a href=""https://github.com/nexB/scancode-toolkit"">ScanCode</a> can detect non-compliant or risky licenses (GPL, AGPL, SSPL) before release. Integrating automated license verification into CI/CD protects us from downstream legal exposure and helps procurement vet third-party dependencies at scale.</p> <p>Teams should explorie policy-as-code enforcement to block merges or releases when high-risk licenses appear. The goal is to move license validation from manual review to a repeatable, auditable pipeline control, embedded in the same way we treat static analysis or vulnerability scans today. Over time this practice should become mature part of our secure software supply-chain posture — but adoption cost and scanning noise remain real challenges.</p>"
Contract testing,assess,Patterns and Practices,FALSE,no change,"<p>Traditional integration tests spin up full environments and exercise multiple services simultaneously, which introduces heavy setup costs, long execution times, and high flakiness where a small environment or data issue can break dozens of tests.</p> <p>In contrast, <strong>contract tests</strong> focus on the API agreements between services: consumers and/or providers define expectations, and each provider verifies that it still satisfies those expectations. Because these tests run in isolation with lightweight mocks or stubs, they detect compatibility issues early in CI pipelines without requiring full system orchestration.</p> <p><strong>Consumer-driven contracts</strong> and tools such as <a href=""https://pact.io/"">Pact</a> let downstream consumers define assertions that are executed in provider flows. In addition, <strong>provider-driven</strong> contract flows validate backward compatibility with API conformance tests and contract change validation. Modern setups integrate contract tests into CI to flag breaking API changes early and publish verified contracts to registries like <a href=""https://github.com/pact-foundation/pact_broker"">Pact Broker</a>.</p> <p>Teams should treat contract tests as executable documentation between squads and as input to release automation. The challenge is governance: versioning, schema evolution, and when to allow breaking changes.</p>"
Domain Driven Design,assess,Patterns and Practices,FALSE,no change,"<p>Domain-Driven Design (DDD) is an architectural philosophy and set of practices centered around connecting the <strong>implementation</strong> with an evolving model of the <strong>core business domain</strong>. It involves deep collaboration with domain experts to distill a <strong>Ubiquitous Language</strong>—a shared vocabulary used by both developers and business users in the code and documentation. Key patterns include <strong>Aggregates</strong>, <strong>Entities</strong>, and <strong>Value Objects</strong>, all operating within explicitly defined <strong>Bounded Contexts</strong> to manage complexity and ensure the software accurately reflects the business&#39;s reality.</p> <p>Our experience on the <strong>Digital Core</strong> programme has been positive: aligning teams around a Ubiquitous Language and explicit Bounded Contexts produced clearer service boundaries, less integration friction, and modules that are easier to evolve as business requirements change. The investment in modelling sessions paid back in fewer rework cycles and more stable APIs. DDD still requires deep domain expertise, developer discipline, and can be over-engineering for simple CRUD applications—so teams should keep researching the approach before committing—but for complex, long-lived domains it has proven its worth in practice.</p>"
Lakehouse,assess,Patterns and Practices,TRUE,new,"<p>The <strong>lakehouse</strong> pattern collapses what used to be two stacks — a data lake for raw, semi-structured files and a data warehouse for curated, queryable tables — into a single architecture built on cheap object storage and open table formats. Formats such as <a href=""Iceberg"">Iceberg</a>, <a href=""https://delta.io/"">Delta Lake</a> and <a href=""https://hudi.apache.org/"">Apache Hudi</a> layer ACID transactions, schema evolution, time travel and partition pruning on top of files in <a href=""S3 Compatible Object Storage"">S3 Compatible Object Storage</a>, while compute engines like <a href=""Trino"">Trino</a> for interactive SQL and <a href=""Spark"">Spark</a> for batch and streaming run independently against the same tables. The result is a shared, governed catalog that reporting, ML and operational analytics can all read from without first forcing the data through a parallel ETL pipeline.</p> <p>We are placing lakehouse in <strong>assess</strong> because the building blocks are now mature enough to take seriously, but the operating model — catalog ownership, table compaction and retention, governance over who can write — is what determines whether a lakehouse stays clean or quietly degrades into a &quot;data swamp with metadata&quot;. For teams currently splitting analytical data between an <a href=""Oracle Database"">Oracle Database</a> or <a href=""Microsoft SQL Server"">Microsoft SQL Server</a> warehouse, ad-hoc files on object storage and downstream copies in <a href=""Elasticsearch"">Elasticsearch</a> or <a href=""PostgreSQL"">PostgreSQL</a>, the pattern is worth piloting on a single bounded domain — pick one source of high-volume events, land it in Iceberg, and let one team consume it through Trino — before any commitment to it as a group-wide standard. What to validate is concurrent writer behavior for our actual ingestion patterns, query latency on representative dashboards, and the operational story for catalog backups, table maintenance and access control across tenants.</p>"
Multi-Agent Workflows,assess,Patterns and Practices,TRUE,new,"<p>Multi-agent workflows — what ThoughtWorks now describes as a <a href=""https://www.thoughtworks.com/radar/techniques/team-of-coding-agents"">team of coding agents</a> — are an emerging way to tackle non-trivial coding tasks by orchestrating a small set of role-specific agents rather than relying on a single generalist. A primary orchestrator decomposes the work, sequences and parallelises subtasks, and the role-specific agents (for example a backend implementer, a frontend implementer and a reviewer) collaborate both with the orchestrator and with each other. Subagent support is rapidly becoming a baseline feature in coding tools, and recent releases such as Claude Code&#39;s agent teams provide built-in orchestration that lowers the barrier to trying this pattern.</p> <p>It is worth being precise about scale. A deliberate team of a handful of agents is a very different beast from a fully autonomous swarm of dozens or hundreds of agents — the latter has a much higher entry cost, weaker quality signals and a different failure mode. In our context, &quot;multi-agent&quot; is closer to the team-of-agents end of the spectrum: small, well-defined roles, a human still on the loop, and clear hand-offs. Useful starting use cases are review/implement splits and clean backend/frontend separation; we recommend assessing it on a bounded internal task before reaching for swarm-scale orchestrations.</p>"
